Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-01-01,INFY,EQ,1972.55,1968.95,1982.0,1956.9,1971.0,1974.4,1971.34,500691,98703055635000.0,14908,258080,0.5154
2015-01-02,INFY,EQ,1974.4,1972.0,2019.05,1972.0,2017.95,2013.2,2003.25,1694580,339466852425000.0,54166,1249104,0.7371
2015-01-05,INFY,EQ,2013.2,2009.9,2030.0,1977.5,1996.0,1995.9,2004.59,2484256,497991093805000.0,82694,1830962,0.737
2015-01-06,INFY,EQ,1995.9,1980.0,1985.0,1934.1,1965.1,1954.2,1954.82,2416829,472445845370000.0,108209,1772070,0.7332
2015-01-07,INFY,EQ,1954.2,1965.0,1974.75,1950.0,1966.05,1963.55,1962.59,1812479,355716183735000.0,62463,1317720,0.7270000000000001
2015-01-08,INFY,EQ,1963.55,1985.6,1997.0,1950.0,1979.25,1973.45,1972.78,3391230,669016029085000.0,92752,2686012,0.792
2015-01-09,INFY,EQ,1973.45,1980.1,2109.0,1913.05,2075.3,2074.45,2037.69,11215832,2285438887015000.0,359214,3369489,0.3004
2015-01-12,INFY,EQ,2074.45,2092.0,2119.2,2075.0,2112.95,2115.95,2099.4,3189722,669651595110000.0,107209,1818800,0.5702
2015-01-13,INFY,EQ,2115.95,2107.8,2107.8,2075.0,2092.0,2088.9,2089.42,2200309,459737380695000.0,66676,1385009,0.6295000000000001
2015-01-14,INFY,EQ,2088.9,2098.5,2133.0,2092.6,2129.0,2128.65,2110.88,2480315,523563759320000.0,53263,1832958,0.7390000000000001
2015-01-15,INFY,EQ,2128.65,2135.2,2152.8,2112.25,2130.0,2134.25,2137.46,2085613,445791097145000.0,48882,1410992,0.6765000000000001
2015-01-16,INFY,EQ,2134.25,2148.0,2160.0,2112.0,2115.0,2118.3,2125.77,1672740,355585824780000.0,63848,1254004,0.7497
2015-01-19,INFY,EQ,2118.3,2120.0,2132.35,2094.6,2105.0,2102.5,2104.55,1021936,215071282119999.97,62963,673948,0.6595000000000001
2015-01-20,INFY,EQ,2102.5,2107.0,2133.0,2101.45,2119.2,2124.2,2118.16,1701126,360325836150000.0,66871,1284137,0.7549
2015-01-21,INFY,EQ,2124.2,2131.5,2175.95,2118.0,2172.0,2169.9,2148.41,2123727,456262771464999.94,82679,1394125,0.6565000000000001
2015-01-22,INFY,EQ,2169.9,2174.8,2203.0,2161.3,2194.95,2196.45,2193.1,2489599,545995131760000.06,82961,1879561,0.755
2015-01-23,INFY,EQ,2196.45,2200.0,2225.0,2165.1,2211.9,2215.05,2194.58,2371582,520462392289999.94,78929,1622130,0.684
2015-01-27,INFY,EQ,2215.05,2221.0,2221.0,2130.1,2137.55,2136.5,2146.45,3434992,737302231395000.0,117167,2765575,0.8051
2015-01-28,INFY,EQ,2136.5,2150.0,2154.8,2130.3,2144.45,2144.55,2144.31,3283589,704104102410000.0,99134,2313485,0.7046
2015-01-29,INFY,EQ,2144.55,2145.0,2149.9,2127.6,2147.8,2145.5,2141.67,3842356,822907640395000.0,79209,2797911,0.7282
2015-01-30,INFY,EQ,2145.5,2161.5,2162.55,2126.95,2141.85,2141.9,2144.44,2708436,580806619935000.0,99180,2093132,0.7728
2015-02-02,INFY,EQ,2141.9,2141.5,2152.0,2126.05,2137.0,2136.85,2142.8,2175635,466195784864999.94,47871,1641719,0.7545999999999999
